Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1602500400,2020-10-12 11-AM,BTCUSD,11269.25,11269.25,11251.25,11262.25,4.392,49444.08
1602496800,2020-10-12 10-AM,BTCUSD,11350,11364,11179.5,11269.25,66.97,752570.6
1602493200,2020-10-12 09-AM,BTCUSD,11366.25,11366.25,11323.5,11350,9.956,112939.6
1602489600,2020-10-12 08-AM,BTCUSD,11378,11390,11366.25,11366.25,8.77,99831.82
1602486000,2020-10-12 07-AM,BTCUSD,11342.25,11378,11338.25,11378,2.998,34095.9
1602482400,2020-10-12 06-AM,BTCUSD,11400.25,11400.25,11342.25,11342.25,6.643,75582.07
1602478800,2020-10-12 05-AM,BTCUSD,11393,11416.75,11384.25,11400.25,3.937,44854.41
1602475200,2020-10-12 04-AM,BTCUSD,11393,11393,11377.25,11393,2.784,31696.69
1602471600,2020-10-12 03-AM,BTCUSD,11413.5,11413.5,11393,11393,9.698,110544.88
1602468000,2020-10-12 02-AM,BTCUSD,11406.5,11413.5,11385,11413.5,6.32,71982.16
1602464400,2020-10-12 01-AM,BTCUSD,11381.5,11406.5,11367.25,11406.5,6.134,69875.19
1602460800,2020-10-12 12-AM,BTCUSD,11380.25,11381.5,11353.5,11381.5,18.44,209482.07
1602457200,2020-10-11 11-PM,BTCUSD,11360.5,11396.25,11356.5,11380.25,6.064,68897.03
1602453600,2020-10-11 10-PM,BTCUSD,11325.25,11360.5,11303,11360.5,10.27,116475.07
1602450000,2020-10-11 09-PM,BTCUSD,11351.25,11351.25,11284.75,11325.25,6.176,69804.57
1602446400,2020-10-11 08-PM,BTCUSD,11340.25,11359.75,11340.25,11351.25,1.556,17664.06
1602442800,2020-10-11 07-PM,BTCUSD,11415,11418,11322.75,11340.25,42.36,481321.27
1602439200,2020-10-11 06-PM,BTCUSD,11416.75,11429.75,11397.75,11415,2.939,33558.39
1602435600,2020-10-11 05-PM,BTCUSD,11404.5,11426.25,11400.75,11416.75,4.874,55611.79
1602432000,2020-10-11 04-PM,BTCUSD,11412.75,11430.75,11376.75,11404.5,13.9,158603.41
1602428400,2020-10-11 03-PM,BTCUSD,11379.25,11430.5,11379.25,11412.75,10.32,117748.17
1602424800,2020-10-11 02-PM,BTCUSD,11378.5,11446.5,11354.75,11379.25,18.16,206999.74
1602421200,2020-10-11 01-PM,BTCUSD,11371.25,11378.5,11349.5,11378.5,13.81,156981.73
1602417600,2020-10-11 12-PM,BTCUSD,11370.5,11380.5,11359.25,11371.25,5.43,61707.72
1602414000,2020-10-11 11-AM,BTCUSD,11393.5,11409.75,11365,11370.5,4.432,50472.19
1602410400,2020-10-11 10-AM,BTCUSD,11339.25,11399.75,11339.25,11393.5,5.106,58122.54
1602406800,2020-10-11 09-AM,BTCUSD,11365.25,11365.25,11339.25,11339.25,0.074,839.44
1602403200,2020-10-11 08-AM,BTCUSD,11361.5,11367,11345.25,11365.25,6.881,78170.52
1602399600,2020-10-11 07-AM,BTCUSD,11346,11371.25,11346,11361.5,2.013,22858.84
1602396000,2020-10-11 06-AM,BTCUSD,11339.75,11361.5,11338.25,11346,6.147,69770.79
1602392400,2020-10-11 05-AM,BTCUSD,11315,11339.75,11311.5,11339.75,5.737,64932.52
1602388800,2020-10-11 04-AM,BTCUSD,11321.75,11336.75,11305.75,11315,6.347,71835.79
1602385200,2020-10-11 03-AM,BTCUSD,11356.5,11356.5,11321.75,11321.75,4.707,53349.58
1602381600,2020-10-11 02-AM,BTCUSD,11376.5,11376.5,11355.5,11356.5,10.25,116466.65
1602378000,2020-10-11 01-AM,BTCUSD,11302.5,11395,11302.5,11376.5,38.59,438731.57
1602374400,2020-10-11 12-AM,BTCUSD,11307,11320.25,11288.25,11302.5,1.093,12351
1602370800,2020-10-10 11-PM,BTCUSD,11361.75,11361.75,11277,11307,13.43,152198.38
1602367200,2020-10-10 10-PM,BTCUSD,11380.25,11380.25,11348.25,11361.75,5.12,58167.24
1602363600,2020-10-10 09-PM,BTCUSD,11369.75,11381.5,11327.25,11380.25,6.711,76208.91
1602360000,2020-10-10 08-PM,BTCUSD,11370.75,11370.75,11355.25,11369.75,1.011,11479.86
1602356400,2020-10-10 07-PM,BTCUSD,11378.5,11378.5,11359.25,11370.75,7.667,87184.12
1602352800,2020-10-10 06-PM,BTCUSD,11359.25,11378.5,11359.25,11378.5,2.577,29313.71
1602349200,2020-10-10 05-PM,BTCUSD,11339.75,11372.25,11339.75,11359.25,14.94,169630.44
1602345600,2020-10-10 04-PM,BTCUSD,11348.5,11368.5,11321.75,11339.75,5.221,59238.61
1602342000,2020-10-10 03-PM,BTCUSD,11354,11410.25,11326.75,11348.5,8.799,100053.47
1602338400,2020-10-10 02-PM,BTCUSD,11371.75,11371.75,11326,11354,4.259,48314.25
1602334800,2020-10-10 01-PM,BTCUSD,11342,11371.75,11318.25,11371.75,2.648,30066.3
1602331200,2020-10-10 12-PM,BTCUSD,11330.5,11342.75,11294.25,11342,5.04,57077.91
1602327600,2020-10-10 11-AM,BTCUSD,11309,11348.5,11309,11330.5,18.94,214383.4
1602324000,2020-10-10 10-AM,BTCUSD,11322.5,11322.5,11256.5,11309,18.13,204799.07
1602320400,2020-10-10 09-AM,BTCUSD,11382.25,11382.25,11298.75,11322.5,23.16,262265.82
1602316800,2020-10-10 08-AM,BTCUSD,11379,11391.5,11378.5,11382.25,1.675,19069.85
1602313200,2020-10-10 07-AM,BTCUSD,11386.25,11386.25,11361.25,11379,4.09,46539.29
